805,porous,adj.可渗透的，多孔的，可穿越的
804,identify,v.识别出；认出；确定，鉴定
799,fleece,n.羊毛，羊毛状物；v.剪羊毛，诈取
798,Philadelphia,n.费城（美国宾夕法尼亚州东南部港市）
797,specimen,n.标本
794,offspring,n.后代
793,sociobiology,n.生物社会学
789,metallic,adj.金属的；金属般的
788,gosling,n.小鹅，年轻无知者
783,acreage,n.面积，英亩数
780,opponent,n.对手，敌手，对抗者；adj.对立的；敌对的
777,variable,adj.易变的，可变的；n.变量，可变物
776,consciousness,n.意识，知觉
769,equivalent,adj.相等的；等值的；n.同义词；等价物
768,therapy,n.治疗，理疗
765,cranial,adj.头盖的，头盖形的
764,transportation,n.运输工具
758,adequate,adj.足够的，充分的；尚可的，过得去的
752,comprise,vt.构成，由……组成；包含，包括
743,supercontinent,n.超大陆
740,dam,n.水坝；母兽
736,elevation,n.高度
735,interdependence,n.互相依赖
731,cohesive,adj.团结的；紧密结合的
728,reflect,v.倒映；反映；仔细思考；反思，反省
714,antibiotic,n.抗生素；adj.抗菌的
712,intense,adj.强烈的，激烈的；紧张的；认真的；热情的，热…
704,participant,n.参与者，参加者
698,comparison,n.比较；比较等级；对照；比喻
689,principal,n.校长；adj.主要的，首要的
674,election,n.选举
667,instruction,n.说明，说明书；指导
666,alpine,adj.高山的，阿尔卑斯山的
654,exhibition,n.展览；（技能、感情或行为的）表演；陈列
640,irregular,adj.（形状、图案等）不规则的；n.不规则物，不…
637,spiral,adj.螺旋的；n.螺旋，螺旋形；v.不断急剧地上…
622,stretch,v.伸展，延伸，张开；n.伸展，张开
621,psychological,adj.心理的，心理学的
611,sprawl,n.四肢伸开的躺卧姿势；v.四肢伸开地坐（或卧）
606,relatively,adv.比较地，相对地
605,perceive,v.意识到
601,intention,n.目的，意图
597,fusion,n.融合，合并
579,constructive,adj.建设性的
578,fortuitous,adj.幸运的
566,collectible,adj.可收集的，可回收的
